DATABASE_NAME,OBJECT_TYPE,TABLE,OBJECT,EXPRESSION,REFERENCED_OBJECT_TYPE,REFERENCED_TABLE,REFERENCED_OBJECT,REFERENCED_EXPRESSION,QUERY
"a1ff3d32-1acd-487c-91dd-7c21024152f8","ATTRIBUTE_HIERARCHY","DimDate","quarter_name","","ATTRIBUTE_HIERARCHY","DimDate","quarter_num","",""
"a1ff3d32-1acd-487c-91dd-7c21024152f8","ATTRIBUTE_HIERARCHY","DimDate","month_name","","ATTRIBUTE_HIERARCHY","DimDate","month_num","",""
"a1ff3d32-1acd-487c-91dd-7c21024152f8","ATTRIBUTE_HIERARCHY","DimDate","month_short","","ATTRIBUTE_HIERARCHY","DimDate","month_num","",""
"a1ff3d32-1acd-487c-91dd-7c21024152f8","ATTRIBUTE_HIERARCHY","DimDate","day_name","","ATTRIBUTE_HIERARCHY","DimDate","day_of_week_num","",""
"a1ff3d32-1acd-487c-91dd-7c21024152f8","ATTRIBUTE_HIERARCHY","DimDate","day_short","","ATTRIBUTE_HIERARCHY","DimDate","day_of_week_num","",""
"a1ff3d32-1acd-487c-91dd-7c21024152f8","ACTIVE_RELATIONSHIP","FactFreshdesk","fbf49f21-a0bc-6d70-3fe9-d29e3d931bb0","","COLUMN","FactFreshdesk","created_at","",""
"a1ff3d32-1acd-487c-91dd-7c21024152f8","ACTIVE_RELATIONSHIP","FactFreshdesk","fbf49f21-a0bc-6d70-3fe9-d29e3d931bb0","","COLUMN","DimDate","date_key","",""
"a1ff3d32-1acd-487c-91dd-7c21024152f8","ACTIVE_RELATIONSHIP","FactLinear","f96ceb63-f67c-ee49-94cf-170baa59869f","","COLUMN","FactLinear","created_at","",""
"a1ff3d32-1acd-487c-91dd-7c21024152f8","ACTIVE_RELATIONSHIP","FactLinear","f96ceb63-f67c-ee49-94cf-170baa59869f","","COLUMN","DimDate","date_key","",""
"a1ff3d32-1acd-487c-91dd-7c21024152f8","RELATIONSHIP","FactFreshdesk","052dabf6-628d-9d38-0309-ba0cc09502e5","","COLUMN","FactFreshdesk","denied_triage_at","",""
"a1ff3d32-1acd-487c-91dd-7c21024152f8","RELATIONSHIP","FactFreshdesk","052dabf6-628d-9d38-0309-ba0cc09502e5","","COLUMN","DimDate","date_key","",""
"a1ff3d32-1acd-487c-91dd-7c21024152f8","RELATIONSHIP","FactFreshdesk","e781dabd-a6b6-fb17-109d-d5847877a347","","COLUMN","FactFreshdesk","first_passed_at","",""
"a1ff3d32-1acd-487c-91dd-7c21024152f8","RELATIONSHIP","FactFreshdesk","e781dabd-a6b6-fb17-109d-d5847877a347","","COLUMN","DimDate","date_key","",""
"a1ff3d32-1acd-487c-91dd-7c21024152f8","RELATIONSHIP","FactFreshdesk","a4e7f635-0b8c-ae01-e925-b7235baf4896","","COLUMN","FactFreshdesk","first_waiting_at","",""
"a1ff3d32-1acd-487c-91dd-7c21024152f8","RELATIONSHIP","FactFreshdesk","a4e7f635-0b8c-ae01-e925-b7235baf4896","","COLUMN","DimDate","date_key","",""
"a1ff3d32-1acd-487c-91dd-7c21024152f8","RELATIONSHIP","FactLinear","823f3e02-b610-6836-ee64-9f380c3941d4","","COLUMN","FactLinear","closed_at","",""
"a1ff3d32-1acd-487c-91dd-7c21024152f8","RELATIONSHIP","FactLinear","823f3e02-b610-6836-ee64-9f380c3941d4","","COLUMN","DimDate","date_key","",""
"a1ff3d32-1acd-487c-91dd-7c21024152f8","RELATIONSHIP","FactLinear","35127388-6db2-fb0b-758b-1a12b68d8440","","COLUMN","FactLinear","completed_at","",""
"a1ff3d32-1acd-487c-91dd-7c21024152f8","RELATIONSHIP","FactLinear","35127388-6db2-fb0b-758b-1a12b68d8440","","COLUMN","DimDate","date_key","",""
"a1ff3d32-1acd-487c-91dd-7c21024152f8","MEASURE","_FD Measures","Created Tickets","
  VAR periodStart = [Period Start]
  VAR periodEnd   = [Period End]
  RETURN
  CALCULATE(
      COUNTROWS(FactFreshdesk),
      FactFreshdesk[created_at] >= periodStart,
      FactFreshdesk[created_at] <= periodEnd
  )","TABLE","FactFreshdesk","FactFreshdesk","",""
"a1ff3d32-1acd-487c-91dd-7c21024152f8","MEASURE","_FD Measures","Created Tickets","
  VAR periodStart = [Period Start]
  VAR periodEnd   = [Period End]
  RETURN
  CALCULATE(
      COUNTROWS(FactFreshdesk),
      FactFreshdesk[created_at] >= periodStart,
      FactFreshdesk[created_at] <= periodEnd
  )","COLUMN","FactFreshdesk","created_at","",""
"a1ff3d32-1acd-487c-91dd-7c21024152f8","MEASURE","_FD Measures","Created Tickets","
  VAR periodStart = [Period Start]
  VAR periodEnd   = [Period End]
  RETURN
  CALCULATE(
      COUNTROWS(FactFreshdesk),
      FactFreshdesk[created_at] >= periodStart,
      FactFreshdesk[created_at] <= periodEnd
  )","MEASURE","_Helper Measures","Period Start","
  VAR today   = TODAY()
  VAR p       = [Selected Period]
  VAR weekday = WEEKDAY(today, 2)          -- Monday=1, Sunday=7
  VAR lastMonday = today - weekday + 1 - 7 -- Monday of last complete week
  VAR firstThisMonth = DATE(YEAR(today), MONTH(today), 1)
  RETURN IF(p = ""Week"", lastMonday, EDATE(firstThisMonth, -1))
",""
"a1ff3d32-1acd-487c-91dd-7c21024152f8","MEASURE","_FD Measures","Created Tickets","
  VAR periodStart = [Period Start]
  VAR periodEnd   = [Period End]
  RETURN
  CALCULATE(
      COUNTROWS(FactFreshdesk),
      FactFreshdesk[created_at] >= periodStart,
      FactFreshdesk[created_at] <= periodEnd
  )","MEASURE","_Helper Measures","Period End","
  VAR today   = TODAY()
  VAR p       = [Selected Period]
  VAR weekday = WEEKDAY(today, 2)
  VAR lastSunday = today - weekday + 1 - 1 -- Sunday ending last complete week
  VAR firstThisMonth = DATE(YEAR(today), MONTH(today), 1)
  RETURN IF(p = ""Week"", lastSunday, firstThisMonth - 1)",""
"a1ff3d32-1acd-487c-91dd-7c21024152f8","CALC_COLUMN","DimDate","IsPastOrToday","
IF(DimDate[date_key] <= TODAY(), 
    1, 
    0
)","TABLE","DimDate","DimDate","",""
"a1ff3d32-1acd-487c-91dd-7c21024152f8","CALC_COLUMN","DimDate","IsPastOrToday","
IF(DimDate[date_key] <= TODAY(), 
    1, 
    0
)","COLUMN","DimDate","date_key","",""
"a1ff3d32-1acd-487c-91dd-7c21024152f8","MEASURE","_Helper Measures","Last Completed Week","
MAXX(
    FILTER(
        ALL(DimDate),
        DimDate[date_key] < TODAY()
    ),
    DimDate[isoweek]
)
","TABLE","DimDate","DimDate","",""
"a1ff3d32-1acd-487c-91dd-7c21024152f8","MEASURE","_Helper Measures","Last Completed Week","
MAXX(
    FILTER(
        ALL(DimDate),
        DimDate[date_key] < TODAY()
    ),
    DimDate[isoweek]
)
","COLUMN","DimDate","date_key","",""
"a1ff3d32-1acd-487c-91dd-7c21024152f8","MEASURE","_Helper Measures","Last Completed Week","
MAXX(
    FILTER(
        ALL(DimDate),
        DimDate[date_key] < TODAY()
    ),
    DimDate[isoweek]
)
","COLUMN","DimDate","isoweek","",""
"a1ff3d32-1acd-487c-91dd-7c21024152f8","MEASURE","_Helper Measures","Last Date in Data","
MAXX(
    FILTER(
        ALL(DimDate),
        DimDate[date_key] < TODAY()
    ),
    DimDate[date_key]
)","TABLE","DimDate","DimDate","",""
"a1ff3d32-1acd-487c-91dd-7c21024152f8","MEASURE","_Helper Measures","Last Date in Data","
MAXX(
    FILTER(
        ALL(DimDate),
        DimDate[date_key] < TODAY()
    ),
    DimDate[date_key]
)","COLUMN","DimDate","date_key","",""
"a1ff3d32-1acd-487c-91dd-7c21024152f8","MEASURE","_Helper Measures","Selected Period","
    SELECTEDVALUE(PeriodType[Period], ""Week"")
","TABLE","PeriodType","PeriodType","",""
"a1ff3d32-1acd-487c-91dd-7c21024152f8","MEASURE","_Helper Measures","Selected Period","
    SELECTEDVALUE(PeriodType[Period], ""Week"")
","COLUMN","PeriodType","Period","",""
"a1ff3d32-1acd-487c-91dd-7c21024152f8","MEASURE","_Helper Measures","Period Start","
  VAR today   = TODAY()
  VAR p       = [Selected Period]
  VAR weekday = WEEKDAY(today, 2)          -- Monday=1, Sunday=7
  VAR lastMonday = today - weekday + 1 - 7 -- Monday of last complete week
  VAR firstThisMonth = DATE(YEAR(today), MONTH(today), 1)
  RETURN IF(p = ""Week"", lastMonday, EDATE(firstThisMonth, -1))
","MEASURE","_Helper Measures","Selected Period","
    SELECTEDVALUE(PeriodType[Period], ""Week"")
",""
"a1ff3d32-1acd-487c-91dd-7c21024152f8","MEASURE","_Helper Measures","Period End","
  VAR today   = TODAY()
  VAR p       = [Selected Period]
  VAR weekday = WEEKDAY(today, 2)
  VAR lastSunday = today - weekday + 1 - 1 -- Sunday ending last complete week
  VAR firstThisMonth = DATE(YEAR(today), MONTH(today), 1)
  RETURN IF(p = ""Week"", lastSunday, firstThisMonth - 1)","MEASURE","_Helper Measures","Selected Period","
    SELECTEDVALUE(PeriodType[Period], ""Week"")
",""
"a1ff3d32-1acd-487c-91dd-7c21024152f8","MEASURE","_Helper Measures","Prev Period Start","
  VAR today   = TODAY()
  VAR p       = [Selected Period]
  VAR weekday = WEEKDAY(today, 2)
  VAR twoWeeksAgoMonday = today - weekday + 1 - 14
  VAR firstThisMonth = DATE(YEAR(today), MONTH(today), 1)
  RETURN IF(p = ""Week"", twoWeeksAgoMonday, EDATE(firstThisMonth, -2))
","MEASURE","_Helper Measures","Selected Period","
    SELECTEDVALUE(PeriodType[Period], ""Week"")
",""
"a1ff3d32-1acd-487c-91dd-7c21024152f8","MEASURE","_Helper Measures","Prev Period End","
  VAR today   = TODAY()
  VAR p       = [Selected Period]
  VAR weekday = WEEKDAY(today, 2)
  VAR lastMonday = today - weekday + 1 - 7
  VAR firstThisMonth = DATE(YEAR(today), MONTH(today), 1)
  RETURN IF(p = ""Week"", lastMonday - 1, EDATE(firstThisMonth, -1) - 1)
","MEASURE","_Helper Measures","Selected Period","
    SELECTEDVALUE(PeriodType[Period], ""Week"")
",""
"a1ff3d32-1acd-487c-91dd-7c21024152f8","MEASURE","_Helper Measures","Period Label","
  VAR p = [Selected Period]
  VAR s = [Period Start]
  RETURN ""Period: "" & IF(
      p = ""Week"",
      ""W"" & WEEKNUM(s, 21),
      FORMAT(s, ""MMMM"")
  )","MEASURE","_Helper Measures","Selected Period","
    SELECTEDVALUE(PeriodType[Period], ""Week"")
",""
"a1ff3d32-1acd-487c-91dd-7c21024152f8","MEASURE","_Helper Measures","Period Label","
  VAR p = [Selected Period]
  VAR s = [Period Start]
  RETURN ""Period: "" & IF(
      p = ""Week"",
      ""W"" & WEEKNUM(s, 21),
      FORMAT(s, ""MMMM"")
  )","MEASURE","_Helper Measures","Period Start","
  VAR today   = TODAY()
  VAR p       = [Selected Period]
  VAR weekday = WEEKDAY(today, 2)          -- Monday=1, Sunday=7
  VAR lastMonday = today - weekday + 1 - 7 -- Monday of last complete week
  VAR firstThisMonth = DATE(YEAR(today), MONTH(today), 1)
  RETURN IF(p = ""Week"", lastMonday, EDATE(firstThisMonth, -1))
",""
"a1ff3d32-1acd-487c-91dd-7c21024152f8","MEASURE","_FD Measures","Created Tickets Prev","
  VAR periodStart = [Prev Period Start]
  VAR periodEnd   = [Prev Period End]
  RETURN
  CALCULATE(
      COUNTROWS(FactFreshdesk),
      FactFreshdesk[created_at] >= periodStart,
      FactFreshdesk[created_at] <= periodEnd
  )
","TABLE","FactFreshdesk","FactFreshdesk","",""
"a1ff3d32-1acd-487c-91dd-7c21024152f8","MEASURE","_FD Measures","Created Tickets Prev","
  VAR periodStart = [Prev Period Start]
  VAR periodEnd   = [Prev Period End]
  RETURN
  CALCULATE(
      COUNTROWS(FactFreshdesk),
      FactFreshdesk[created_at] >= periodStart,
      FactFreshdesk[created_at] <= periodEnd
  )
","COLUMN","FactFreshdesk","created_at","",""
"a1ff3d32-1acd-487c-91dd-7c21024152f8","MEASURE","_FD Measures","Created Tickets Prev","
  VAR periodStart = [Prev Period Start]
  VAR periodEnd   = [Prev Period End]
  RETURN
  CALCULATE(
      COUNTROWS(FactFreshdesk),
      FactFreshdesk[created_at] >= periodStart,
      FactFreshdesk[created_at] <= periodEnd
  )
","MEASURE","_Helper Measures","Prev Period Start","
  VAR today   = TODAY()
  VAR p       = [Selected Period]
  VAR weekday = WEEKDAY(today, 2)
  VAR twoWeeksAgoMonday = today - weekday + 1 - 14
  VAR firstThisMonth = DATE(YEAR(today), MONTH(today), 1)
  RETURN IF(p = ""Week"", twoWeeksAgoMonday, EDATE(firstThisMonth, -2))
",""
"a1ff3d32-1acd-487c-91dd-7c21024152f8","MEASURE","_FD Measures","Created Tickets Prev","
  VAR periodStart = [Prev Period Start]
  VAR periodEnd   = [Prev Period End]
  RETURN
  CALCULATE(
      COUNTROWS(FactFreshdesk),
      FactFreshdesk[created_at] >= periodStart,
      FactFreshdesk[created_at] <= periodEnd
  )
","MEASURE","_Helper Measures","Prev Period End","
  VAR today   = TODAY()
  VAR p       = [Selected Period]
  VAR weekday = WEEKDAY(today, 2)
  VAR lastMonday = today - weekday + 1 - 7
  VAR firstThisMonth = DATE(YEAR(today), MONTH(today), 1)
  RETURN IF(p = ""Week"", lastMonday - 1, EDATE(firstThisMonth, -1) - 1)
",""
"a1ff3d32-1acd-487c-91dd-7c21024152f8","MEASURE","_FD Measures","Created Tickets Δ%","
  DIVIDE([Created Tickets] - [Created Tickets Prev], [Created Tickets Prev])","MEASURE","_FD Measures","Created Tickets","
  VAR periodStart = [Period Start]
  VAR periodEnd   = [Period End]
  RETURN
  CALCULATE(
      COUNTROWS(FactFreshdesk),
      FactFreshdesk[created_at] >= periodStart,
      FactFreshdesk[created_at] <= periodEnd
  )",""
"a1ff3d32-1acd-487c-91dd-7c21024152f8","MEASURE","_FD Measures","Created Tickets Δ%","
  DIVIDE([Created Tickets] - [Created Tickets Prev], [Created Tickets Prev])","MEASURE","_FD Measures","Created Tickets Prev","
  VAR periodStart = [Prev Period Start]
  VAR periodEnd   = [Prev Period End]
  RETURN
  CALCULATE(
      COUNTROWS(FactFreshdesk),
      FactFreshdesk[created_at] >= periodStart,
      FactFreshdesk[created_at] <= periodEnd
  )
",""
"a1ff3d32-1acd-487c-91dd-7c21024152f8","MEASURE","_FD Measures","Waiting for Triage","
  VAR periodStart = [Period Start]
  VAR periodEnd   = [Period End]
  RETURN
  CALCULATE(
      COUNTROWS(FactFreshdesk),
      FactFreshdesk[first_waiting_at] >= periodStart,
      FactFreshdesk[first_waiting_at] <= periodEnd,
      NOT ISBLANK(FactFreshdesk[first_waiting_at])
  )","TABLE","FactFreshdesk","FactFreshdesk","",""
"a1ff3d32-1acd-487c-91dd-7c21024152f8","MEASURE","_FD Measures","Waiting for Triage","
  VAR periodStart = [Period Start]
  VAR periodEnd   = [Period End]
  RETURN
  CALCULATE(
      COUNTROWS(FactFreshdesk),
      FactFreshdesk[first_waiting_at] >= periodStart,
      FactFreshdesk[first_waiting_at] <= periodEnd,
      NOT ISBLANK(FactFreshdesk[first_waiting_at])
  )","COLUMN","FactFreshdesk","first_waiting_at","",""
