snapshot_ts,ticket_id,subject,description,created_at,updated_at,status_id,status_name,priority,requester_id,requester_name,assignee_id,assignee_name,tags,raw_json_path
2026-05-29T12:56:12.456633+00:00,323767,Exponeringsscenario,,2026-05-29T12:48:51Z,2026-05-29T12:48:52Z,2,,1,14052175369,,,,Diamondsupport;SupportSE,C:\Users\michael.brostrom\Documents\GitHub\statistik-freshdesk-linear\raw\freshdesk\freshdesk_raw_20260529T125612Z.json
2026-05-29T12:56:12.456633+00:00,323766,FW: Uppdaterat SDB - i6678 MOLYKOTE 1000 Paste,,2026-05-29T12:47:56Z,2026-05-29T12:47:57Z,2,,1,14069033000,,,,SDSse,C:\Users\michael.brostrom\Documents\GitHub\statistik-freshdesk-linear\raw\freshdesk\freshdesk_raw_20260529T125612Z.json
2026-05-29T12:56:12.456633+00:00,323765,2 nya kemikalier EU_Eng,,2026-05-29T12:43:21Z,2026-05-29T12:43:23Z,2,,1,14028751411,,,,SDSse,C:\Users\michael.brostrom\Documents\GitHub\statistik-freshdesk-linear\raw\freshdesk\freshdesk_raw_20260529T125612Z.json
2026-05-29T12:56:12.456633+00:00,323764,Uppdaterat Säkerhetsdatablad,,2026-05-29T12:42:28Z,2026-05-29T12:53:46Z,5,,1,14069033000,,14071398123.0,,SDSse;Natasa Randebjer,C:\Users\michael.brostrom\Documents\GitHub\statistik-freshdesk-linear\raw\freshdesk\freshdesk_raw_20260529T125612Z.json
2026-05-29T12:56:12.456633+00:00,323763,problem with matching the products,,2026-05-29T12:31:01Z,2026-05-29T12:31:02Z,2,,1,14013370917,,,,Reseller support;SupportSE,C:\Users\michael.brostrom\Documents\GitHub\statistik-freshdesk-linear\raw\freshdesk\freshdesk_raw_20260529T125612Z.json
2026-05-29T12:56:12.456633+00:00,323762,Avisering: Kolla info inkorgen - fre den 29 maj 2026 15:00 - 16:00 (CEST) (intersolia.se@gmail.com),,2026-05-29T12:29:59Z,2026-05-29T12:55:25Z,2,,1,14007882060,,14052546715.0,,Reseller support,C:\Users\michael.brostrom\Documents\GitHub\statistik-freshdesk-linear\raw\freshdesk\freshdesk_raw_20260529T125612Z.json
2026-05-29T12:56:12.456633+00:00,323761,Behörighet Intersolia,,2026-05-29T12:21:39Z,2026-05-29T12:21:40Z,2,,1,14064980353,,,,SupportSE,C:\Users\michael.brostrom\Documents\GitHub\statistik-freshdesk-linear\raw\freshdesk\freshdesk_raw_20260529T125612Z.json
2026-05-29T12:56:12.456633+00:00,323760,SDS for your current order 32358968,,2026-05-29T12:21:21Z,2026-05-29T12:24:19Z,5,,1,14027473094,,,,SDSse;Petra Manojlovic,C:\Users\michael.brostrom\Documents\GitHub\statistik-freshdesk-linear\raw\freshdesk\freshdesk_raw_20260529T125612Z.json
2026-05-29T12:56:12.456633+00:00,323758,SDS for your current order 32358901,,2026-05-29T12:16:16Z,2026-05-29T12:24:13Z,5,,1,14027473094,,,,SDSse;Petra Manojlovic,C:\Users\michael.brostrom\Documents\GitHub\statistik-freshdesk-linear\raw\freshdesk\freshdesk_raw_20260529T125612Z.json
2026-05-29T12:56:12.456633+00:00,323757,Produkt förfrågad,,2026-05-29T12:13:02Z,2026-05-29T12:27:16Z,5,,1,14039562679,,,,SDSse;Natasa Randebjer,C:\Users\michael.brostrom\Documents\GitHub\statistik-freshdesk-linear\raw\freshdesk\freshdesk_raw_20260529T125612Z.json
2026-05-29T12:56:12.456633+00:00,323756,Produkt förfrågad,,2026-05-29T12:12:17Z,2026-05-29T12:54:22Z,5,,1,14039562679,,,,SDSse;Natasa Randebjer,C:\Users\michael.brostrom\Documents\GitHub\statistik-freshdesk-linear\raw\freshdesk\freshdesk_raw_20260529T125612Z.json
2026-05-29T12:56:12.456633+00:00,323755,"SDB ""Antifrogen N""",,2026-05-29T12:12:08Z,2026-05-29T12:15:33Z,5,,1,14059576447,,14071398533.0,,SDSde;Kristina Nikolić,C:\Users\michael.brostrom\Documents\GitHub\statistik-freshdesk-linear\raw\freshdesk\freshdesk_raw_20260529T125612Z.json
2026-05-29T12:56:12.456633+00:00,323754,Welcome to EcoOnline: Activate Your Account Now,,2026-05-29T12:12:01Z,2026-05-29T12:12:01Z,2,,1,14070745777,,,,,C:\Users\michael.brostrom\Documents\GitHub\statistik-freshdesk-linear\raw\freshdesk\freshdesk_raw_20260529T125612Z.json
2026-05-29T12:56:12.456633+00:00,323753,Länk till iChemistry,,2026-05-29T12:08:43Z,2026-05-29T12:08:43Z,5,,1,14073427627,,14052546715.0,,,C:\Users\michael.brostrom\Documents\GitHub\statistik-freshdesk-linear\raw\freshdesk\freshdesk_raw_20260529T125612Z.json
2026-05-29T12:56:12.456633+00:00,323752,Sdb Vasco 7000,,2026-05-29T12:05:34Z,2026-05-29T12:10:11Z,2,,1,14010291627,,,,SDSse,C:\Users\michael.brostrom\Documents\GitHub\statistik-freshdesk-linear\raw\freshdesk\freshdesk_raw_20260529T125612Z.json
2026-05-29T12:56:12.456633+00:00,323751,Produkt förfrågad,,2026-05-29T12:04:43Z,2026-05-29T12:04:44Z,2,,1,14039562679,,,,SDSse,C:\Users\michael.brostrom\Documents\GitHub\statistik-freshdesk-linear\raw\freshdesk\freshdesk_raw_20260529T125612Z.json
2026-05-29T12:56:12.456633+00:00,323750,Legaslation Update - GHS/CLP,,2026-05-29T11:52:59Z,2026-05-29T12:25:23Z,12,,3,14059735790,,14069002461.0,,,C:\Users\michael.brostrom\Documents\GitHub\statistik-freshdesk-linear\raw\freshdesk\freshdesk_raw_20260529T125612Z.json
2026-05-29T12:56:12.456633+00:00,323749,Saknade/ej godkända säkerhetsdatablad,,2026-05-29T11:49:08Z,2026-05-29T11:49:09Z,2,,1,14063905913,,,,SupportSE,C:\Users\michael.brostrom\Documents\GitHub\statistik-freshdesk-linear\raw\freshdesk\freshdesk_raw_20260529T125612Z.json
2026-05-29T12:56:12.456633+00:00,323748,SDS for your current order 32358709,,2026-05-29T11:41:11Z,2026-05-29T11:51:56Z,5,,1,14027473094,,,,SDSse;Petra Manojlovic,C:\Users\michael.brostrom\Documents\GitHub\statistik-freshdesk-linear\raw\freshdesk\freshdesk_raw_20260529T125612Z.json
2026-05-29T12:56:12.456633+00:00,323747,Vietnam Legislation update - 2026,,2026-05-29T11:41:02Z,2026-05-29T11:49:59Z,12,,2,14047616286,,14069002461.0,,,C:\Users\michael.brostrom\Documents\GitHub\statistik-freshdesk-linear\raw\freshdesk\freshdesk_raw_20260529T125612Z.json
2026-05-29T12:56:12.456633+00:00,323746,Neue MSDS 4144 + 4963,,2026-05-29T11:37:29Z,2026-05-29T12:07:27Z,5,,1,14072897510,,14071398533.0,,SDSde;Kristina Nikolić,C:\Users\michael.brostrom\Documents\GitHub\statistik-freshdesk-linear\raw\freshdesk\freshdesk_raw_20260529T125612Z.json
2026-05-29T12:56:12.456633+00:00,323745,Nytt problem med H350 i SDB som genereras i Autogen fast Fix list används samt olika långa SDB beroende på template som används,,2026-05-29T11:34:03Z,2026-05-29T11:34:05Z,2,,2,14023145803,,,,,C:\Users\michael.brostrom\Documents\GitHub\statistik-freshdesk-linear\raw\freshdesk\freshdesk_raw_20260529T125612Z.json
2026-05-29T12:56:12.456633+00:00,323744,Signed agreement: Existing Business | Fredrik Lundqvist | Swedish Match North Europe AB | Change Order,,2026-05-29T11:32:26Z,2026-05-29T12:54:24Z,5,,1,14055457613,,14052546715.0,,Reseller support,C:\Users\michael.brostrom\Documents\GitHub\statistik-freshdesk-linear\raw\freshdesk\freshdesk_raw_20260529T125612Z.json
2026-05-29T12:56:12.456633+00:00,323743,*DO NOT REPLY* Univar:0086176987(4501792526),,2026-05-29T11:20:03Z,2026-05-29T11:34:45Z,2,,1,14044928171,,,,sdsUpdate,C:\Users\michael.brostrom\Documents\GitHub\statistik-freshdesk-linear\raw\freshdesk\freshdesk_raw_20260529T125612Z.json
2026-05-29T12:56:12.456633+00:00,323742,VB: Konsulthjälp inom ramen för våra 6 timmar Saltängen?,,2026-05-29T11:19:22Z,2026-05-29T11:19:24Z,2,,1,14008436635,,,,SupportSE,C:\Users\michael.brostrom\Documents\GitHub\statistik-freshdesk-linear\raw\freshdesk\freshdesk_raw_20260529T125612Z.json
2026-05-29T12:56:12.456633+00:00,323741,Produkt förfrågad,,2026-05-29T11:18:39Z,2026-05-29T11:51:13Z,5,,1,14039562679,,,,SDSse;Natasa Randebjer,C:\Users\michael.brostrom\Documents\GitHub\statistik-freshdesk-linear\raw\freshdesk\freshdesk_raw_20260529T125612Z.json
2026-05-29T12:56:12.456633+00:00,323740,Smörjfett VGC1 från Komatsu,,2026-05-29T11:03:09Z,2026-05-29T11:03:10Z,2,,1,14068140913,,,,SupportSE,C:\Users\michael.brostrom\Documents\GitHub\statistik-freshdesk-linear\raw\freshdesk\freshdesk_raw_20260529T125612Z.json
2026-05-29T12:56:12.456633+00:00,323739,Produkt förfrågad,,2026-05-29T11:01:40Z,2026-05-29T12:17:53Z,5,,1,14039562679,,,,SDSse;Natasa Randebjer,C:\Users\michael.brostrom\Documents\GitHub\statistik-freshdesk-linear\raw\freshdesk\freshdesk_raw_20260529T125612Z.json
2026-05-29T12:56:12.456633+00:00,323738,i107432 ARALDITE 2012 RESIN,,2026-05-29T10:54:49Z,2026-05-29T10:54:50Z,2,,1,14008637902,,,,SDSse,C:\Users\michael.brostrom\Documents\GitHub\statistik-freshdesk-linear\raw\freshdesk\freshdesk_raw_20260529T125612Z.json
2026-05-29T12:56:12.456633+00:00,323737,Produkt förfrågad,,2026-05-29T10:50:16Z,2026-05-29T12:09:23Z,5,,1,14039562679,,,,SDSse;Natasa Randebjer,C:\Users\michael.brostrom\Documents\GitHub\statistik-freshdesk-linear\raw\freshdesk\freshdesk_raw_20260529T125612Z.json
2026-05-29T12:56:12.456633+00:00,323736,Produkt förfrågad,,2026-05-29T10:46:28Z,2026-05-29T12:44:13Z,5,,1,14039562679,,,,SDSse;Natasa Randebjer,C:\Users\michael.brostrom\Documents\GitHub\statistik-freshdesk-linear\raw\freshdesk\freshdesk_raw_20260529T125612Z.json
2026-05-29T12:56:12.456633+00:00,323735,Essity SDB,,2026-05-29T10:40:32Z,2026-05-29T10:40:33Z,2,,1,14067551491,,,,SDSse,C:\Users\michael.brostrom\Documents\GitHub\statistik-freshdesk-linear\raw\freshdesk\freshdesk_raw_20260529T125612Z.json
2026-05-29T12:56:12.456633+00:00,323734,Produkt förfrågad,,2026-05-29T10:36:57Z,2026-05-29T11:08:24Z,5,,1,14039562679,,,,SDSse;Natasa Randebjer,C:\Users\michael.brostrom\Documents\GitHub\statistik-freshdesk-linear\raw\freshdesk\freshdesk_raw_20260529T125612Z.json
2026-05-29T12:56:12.456633+00:00,323733,Säkerhetsdatablad för kemiprodukter från Würth Svenska AB,,2026-05-29T10:34:35Z,2026-05-29T10:35:00Z,5,,1,14050340348,,,,SDSse;Petra Manojlovic,C:\Users\michael.brostrom\Documents\GitHub\statistik-freshdesk-linear\raw\freshdesk\freshdesk_raw_20260529T125612Z.json
2026-05-29T12:56:12.456633+00:00,323732,Erinnerung: Eine exklusive Nominierung für Ihr Unternehmen - Unternehmen der Zukunft 2026,,2026-05-29T10:21:43Z,2026-05-29T10:27:10Z,5,,1,14074219694,,,,SDSde;Kristina Nikolić,C:\Users\michael.brostrom\Documents\GitHub\statistik-freshdesk-linear\raw\freshdesk\freshdesk_raw_20260529T125612Z.json
2026-05-29T12:56:12.456633+00:00,323731,Uppdaterat SDB Air1 - Yara,,2026-05-29T10:16:26Z,2026-05-29T12:15:12Z,5,,1,14073390560,,14071398123.0,,SDSse;Petra Manojlovic,C:\Users\michael.brostrom\Documents\GitHub\statistik-freshdesk-linear\raw\freshdesk\freshdesk_raw_20260529T125612Z.json
2026-05-29T12:56:12.456633+00:00,323730,"WG: Sicherheitsdatenblatt von ""BOSTIK S300 SANITÄR SILICON WEISS""",,2026-05-29T10:12:22Z,2026-05-29T12:15:12Z,5,,1,14059576447,,14071398533.0,,SDSde;Kristina Nikolić,C:\Users\michael.brostrom\Documents\GitHub\statistik-freshdesk-linear\raw\freshdesk\freshdesk_raw_20260529T125612Z.json
2026-05-29T12:56:12.456633+00:00,323729,SV: Velkommen til Intersolia – Kom i gang med iChemistry!,,2026-05-29T10:04:56Z,2026-05-29T10:04:57Z,2,,1,14073906829,,,,,C:\Users\michael.brostrom\Documents\GitHub\statistik-freshdesk-linear\raw\freshdesk\freshdesk_raw_20260529T125612Z.json
2026-05-29T12:56:12.456633+00:00,323728,VS: SDS - iChemistry,,2026-05-29T10:01:40Z,2026-05-29T12:26:28Z,5,,1,14071992403,,14008435819.0,,SDSuk;sds;Natalija Momcilovic,C:\Users\michael.brostrom\Documents\GitHub\statistik-freshdesk-linear\raw\freshdesk\freshdesk_raw_20260529T125612Z.json
2026-05-29T12:56:12.456633+00:00,323727,Nytt avtal: JP Industri AB (Jonsson & Paulsson Industri AB),,2026-05-29T09:59:08Z,2026-05-29T09:59:08Z,5,,1,14048842370,,14046386009.0,,,C:\Users\michael.brostrom\Documents\GitHub\statistik-freshdesk-linear\raw\freshdesk\freshdesk_raw_20260529T125612Z.json
2026-05-29T12:56:12.456633+00:00,323726,i430417 DRESINATE TX,,2026-05-29T09:58:43Z,2026-05-29T12:15:09Z,5,,1,14008458350,,14071398123.0,,SDSse;Natasa Randebjer,C:\Users\michael.brostrom\Documents\GitHub\statistik-freshdesk-linear\raw\freshdesk\freshdesk_raw_20260529T125612Z.json
2026-05-29T12:56:12.456633+00:00,323725,Produkt förfrågad,,2026-05-29T09:58:03Z,2026-05-29T10:01:07Z,5,,1,14039562679,,,,sds;Natalija Momcilovic,C:\Users\michael.brostrom\Documents\GitHub\statistik-freshdesk-linear\raw\freshdesk\freshdesk_raw_20260529T125612Z.json
2026-05-29T12:56:12.456633+00:00,323724,Inloggning Chemsoft,,2026-05-29T09:56:04Z,2026-05-29T11:12:34Z,5,,1,14074219495,,14047027269.0,,,C:\Users\michael.brostrom\Documents\GitHub\statistik-freshdesk-linear\raw\freshdesk\freshdesk_raw_20260529T125612Z.json
2026-05-29T12:56:12.456633+00:00,323723,VB: [EXTERNAL] RE: White Lithium Grease,,2026-05-29T09:48:42Z,2026-05-29T09:48:43Z,2,,1,14063013963,,,,SDSse,C:\Users\michael.brostrom\Documents\GitHub\statistik-freshdesk-linear\raw\freshdesk\freshdesk_raw_20260529T125612Z.json
2026-05-29T12:56:12.456633+00:00,323722,"VB: Ahlsell, Säkerhetsdatablad tillhörande din order 49143712",,2026-05-29T09:45:51Z,2026-05-29T12:47:13Z,5,,1,14054846934,,14071398123.0,,SDSse;Natasa Randebjer,C:\Users\michael.brostrom\Documents\GitHub\statistik-freshdesk-linear\raw\freshdesk\freshdesk_raw_20260529T125612Z.json
2026-05-29T12:56:12.456633+00:00,323721,Sika BlackSeal-1,,2026-05-29T09:41:54Z,2026-05-29T10:06:40Z,5,,1,14041074995,,,,SDSse;Petra Manojlovic,C:\Users\michael.brostrom\Documents\GitHub\statistik-freshdesk-linear\raw\freshdesk\freshdesk_raw_20260529T125612Z.json
2026-05-29T12:56:12.456633+00:00,323720,Missing SDS in IC,,2026-05-29T09:40:19Z,2026-05-29T09:40:21Z,2,,1,14073381043,,,,SupportSE,C:\Users\michael.brostrom\Documents\GitHub\statistik-freshdesk-linear\raw\freshdesk\freshdesk_raw_20260529T125612Z.json
2026-05-29T12:56:12.456633+00:00,323719,Missing SDS in IC,,2026-05-29T09:40:19Z,2026-05-29T09:40:20Z,2,,1,14073381043,,,,SupportSE,C:\Users\michael.brostrom\Documents\GitHub\statistik-freshdesk-linear\raw\freshdesk\freshdesk_raw_20260529T125612Z.json
2026-05-29T12:56:12.456633+00:00,323717,Välkommen till iChemistry!,,2026-05-29T09:38:01Z,2026-05-29T09:38:01Z,5,,1,14074197936,,14052546715.0,,,C:\Users\michael.brostrom\Documents\GitHub\statistik-freshdesk-linear\raw\freshdesk\freshdesk_raw_20260529T125612Z.json
2026-05-29T12:56:12.456633+00:00,323716,Vad är händer inom PFAS-området?,,2026-05-29T09:37:51Z,2026-05-29T09:37:52Z,2,,1,14073933893,,,,Aromdekor,C:\Users\michael.brostrom\Documents\GitHub\statistik-freshdesk-linear\raw\freshdesk\freshdesk_raw_20260529T125612Z.json
