Source,Field,Inferred Type,Missing Rate,Unique Count,Max Array Len,Parse Errors,Min Date,Max Date,Suggested Handling,Notes
Linear,id,string,0.0,82,,0,,,keep as string; PK,
Linear,number,numeric,0.0,76,,0,,,keep numeric,
Linear,identifier,string,0.0,82,,0,,,keep as string; may be null,
Linear,title,string,0.0,82,,0,,,trim whitespace; keep raw,
Linear,description,string,0.426829,47,,0,,,keep raw; consider storing large text in raw JSON only,
Linear,createdAt,timestamp,0.0,82,,0,2025-09-12T14:04:04.241000+00:00,2025-12-19T15:17:41.108000+00:00,normalize to UTC ISO; index for time joins,
Linear,updatedAt,timestamp,0.0,82,,0,2025-10-31T09:43:02.593000+00:00,2026-05-27T11:06:56.496000+00:00,normalize to UTC ISO; index for incremental fetch,
Linear,archivedAt,timestamp,1.0,0,,0,,,normalize to UTC ISO; nullable,
Linear,priority,numeric,0.0,5,,0,,,normalize to numeric or enum; document mapping,
Linear,estimate,numeric,1.0,0,,0,,,keep numeric; document unit,
Linear,trashed,boolean,1.0,0,,0,,,normalize to boolean,
Linear,state_id,string,1.0,0,,0,,,keep as string; map to DimState,
Linear,state_name,string,1.0,0,,0,,,keep as string,
Linear,state_type,string,1.0,0,,0,,,keep as string,
Linear,assignee_id,string,1.0,0,,0,,,keep as string; map to DimPerson,
Linear,assignee_name,string,1.0,0,,0,,,keep as string,
Linear,assignee_email,string,1.0,0,,0,,,validate email format,
Linear,project_id,string,1.0,0,,0,,,keep as string; map to DimProject,
Linear,project_name,string,1.0,0,,0,,,keep as string,
Linear,team_id,string,1.0,0,,0,,,keep as string; map to DimTeam,
Linear,team_name,string,1.0,0,,0,,,keep as string,
Linear,labels,array,0.0,13,,0,,,flatten to ';' string; consider label table in silver,
