,count,unique,top,freq,mean,min,25%,50%,75%,max,std
cc_emails,9228,719,[],4691,,,,,,,
fwd_emails,9228,756,[],7622,,,,,,,
reply_cc_emails,9228,626,[],4874,,,,,,,
ticket_cc_emails,9205,483,[],8363,,,,,,,
ticket_bcc_emails,9228,4,[],9223,,,,,,,
fr_escalated,9228,2,False,9222,,,,,,,
spam,9228,1,False,9228,,,,,,,
email_config_id,9221.0,,,,14000040204.195099,14000029366.0,14000038769.0,14000040524.0,14000040524.0,14000045131.0,1410.0285628104352
group_id,9222.0,,,,14000111097.6671,14000108779.0,14000108779.0,14000111939.0,14000111939.0,14000116794.0,1652.966138027252
priority,9228.0,,,,1.094061551798873,1.0,1.0,1.0,1.0,4.0,0.34752130907632073
requester_id,9228.0,,,,14051977200.43834,14001300694.0,14039562679.0,14052546715.0,14068863499.0,14074239723.0,18200744.773002055
responder_id,4836.0,,,,14055048282.19665,14001300694.0,14047027269.0,14059655202.0,14071398123.0,14074125575.0,20306670.031028695
source,9228.0,,,,1.3644343302990898,1.0,1.0,1.0,1.0,15.0,1.7225893636841507
company_id,6100.0,,,,14000375742.329016,14000234541.0,14000333260.0,14000333260.0,14000471607.0,14000615429.0,114984.6280945205
status,9228.0,,,,5.079540528825314,2.0,5.0,5.0,5.0,27.0,1.5594020736607361
subject,9228,5128,Produkt förfrågad,2402,,,,,,,
association_type,31.0,,,,3.806451612903226,3.0,4.0,4.0,4.0,4.0,0.4016096644512494
support_email,9031,20,cs-environmentcomsds.se@intersolia.freshdesk.com,5110,,,,,,,
to_emails,9054,361,['sdb@intersolia.com'],2509,,,,,,,
product_id,9051.0,,,,14000002035.157883,14000001437.0,14000002046.0,14000002046.0,14000002046.0,14000003190.0,149.75990264532075
id,9228.0,,,,318657.4674902471,162873.0,316505.75,318953.5,321427.25,323904.0,5632.769308802461
type,9121,15,SDS Request,6455,,,,,,,
due_by,8962,6616,2027-10-05T15:00:00Z,452,,,,,,,
fr_due_by,8962,6441,2027-10-05T15:00:00Z,476,,,,,,,
is_escalated,9228,2,False,9207,,,,,,,
custom_fields,9228,144,"{'module': 'SDS / safety sheet', 'produkt': None, 'error_id_type': None, 'cf_followup': None, 'cf_sub_type': None, 'cf_fsm_contact_name': None, 'cf_fsm_phone_number': None, 'cf_fsm_service_location': None, 'cf_fsm_appointment_start_time': None, 'cf_fsm_appointment_end_time': None}",4223,,,,,,,
created_at,9228,,,,2026-04-30 08:07:22.952427+00:00,2023-08-15 08:26:30+00:00,2026-04-17 08:15:31.750000+00:00,2026-04-30 06:23:52+00:00,2026-05-15 21:47:36.250000+00:00,2026-06-01 09:59:40+00:00,
updated_at,9228,,,,2026-05-23 11:04:39.779367+00:00,2026-05-02 10:30:34+00:00,2026-05-17 12:15:03+00:00,2026-05-26 12:15:23+00:00,2026-05-29 06:41:01+00:00,2026-06-01 10:11:44+00:00,
associated_tickets_count,6.0,,,,6.166666666666667,0.0,2.25,3.0,4.5,24.0,8.88631907297204
tags,9228,651,"['SupportSE', 'Older than 7 days', 'Older than 10 days', 'Older than 14 days', 'Older than 21 days', 'Older than 30 days']",664,,,,,,,
source_info,6.0,,,,4.0,4.0,4.0,4.0,4.0,4.0,0.0
structured_description,6,3,"{'description_contents': [{'type': 'text', 'data': {'content': 'Ticket Description: '}}, {'type': 'text', 'data': {'content': 'caroline.hakansson@intersolia.com'}}]}",4,,,,,,,
internal_agent_id,70.0,,,,14040832982.428572,14004923093.0,14046817964.0,14046817964.0,14046817964.0,14046817964.0,14766001.810044622
internal_group_id,133.0,,,,14000108778.0,14000108778.0,14000108778.0,14000108778.0,14000108778.0,14000108778.0,0.0
sentiment_score,1695.0,,,,53.71563421828908,4.0,49.0,50.0,59.0,96.0,18.625827488780295
initial_sentiment_score,1695.0,,,,52.0188790560472,4.0,49.0,50.0,56.5,95.0,17.976920069278204
nr_due_by,0.0,,,,,,,,,,
nr_escalated,9228,1,False,9228,,,,,,,
form_id,45.0,,,,14000000297.0,14000000297.0,14000000297.0,14000000297.0,14000000297.0,14000000297.0,0.0
